source1_entity_id,missed_target_id,reason,country_mismatch,beyond_rank_cut,postings_budget_dropped
S1-656208827,S3-490428130,beyond_rank_cut,False,True,False
S1-346268143,S3-661637198,no_shared_term,False,False,False
S1-709959711,S3-329836801,beyond_rank_cut,False,True,False
S1-306815208,S3-845827051,beyond_rank_cut,False,True,False
S1-619852059,S3-639559863,beyond_rank_cut,False,True,False
S1-821719727,S3-213343505,beyond_rank_cut,False,True,False
S1-644285660,S3-515028777,beyond_rank_cut,False,True,False
S1-738084409,S2-605969886,beyond_rank_cut,False,True,False
S1-590018468,S3-518012400,beyond_rank_cut,False,True,False
S1-590018468,S3-948972362,no_shared_term,False,False,False
S1-375690643,S2-911958557,beyond_rank_cut,False,True,False
S1-904075339,S3-972036511,beyond_rank_cut,False,True,False
S1-583565738,S2-456164850,beyond_rank_cut,False,True,False
S1-176223895,S3-344732466,no_shared_term,False,False,False
S1-278666126,S2-780035502,no_shared_term,False,False,False
S1-599972186,S3-369608370,beyond_rank_cut,False,True,False
S1-55145370,S3-788891432,beyond_rank_cut,False,True,False
S1-887888754,S2-551557311,no_shared_term,False,False,False
S1-887888754,S2-775047217,no_shared_term,False,False,False
S1-233630805,S2-511092443,beyond_rank_cut,False,True,False
S1-886781771,S3-476942842,beyond_rank_cut,False,True,False
S1-573137111,S2-825140350,beyond_rank_cut,False,True,False
S1-419392905,S3-884684507,beyond_rank_cut,False,True,False
S1-910362282,S3-74375280,no_shared_term,False,False,False
S1-403970267,S3-998736509,beyond_rank_cut,False,True,False
S1-717371842,S2-315303453,no_shared_term,False,False,False
S1-677605943,S2-485289851,beyond_rank_cut,False,True,False
S1-561653962,S3-708558305,beyond_rank_cut,False,True,False
S1-51241458,S2-778471321,beyond_rank_cut,False,True,False
S1-811398873,S3-475809366,beyond_rank_cut,False,True,False
S1-371438018,S3-556145501,beyond_rank_cut,False,True,False
S1-867613703,S2-481924866,no_shared_term,False,False,False
S1-51718244,S3-525158335,no_shared_term,False,False,False
S1-722969465,S3-406574575,beyond_rank_cut,False,True,False
S1-722969465,S3-519077868,beyond_rank_cut,False,True,False
S1-188484326,S3-299785127,beyond_rank_cut,False,True,False
S1-816263652,S2-276750638,beyond_rank_cut,False,True,False
S1-816263652,S2-55855913,beyond_rank_cut,False,True,False
S1-852654430,S3-105023715,no_shared_term,False,False,False
S1-217089686,S2-459949199,beyond_rank_cut,False,True,False
S1-298228916,S3-511209341,beyond_rank_cut,False,True,False
S1-564321870,S2-727058322,no_shared_term,False,False,False
S1-564321870,S3-226742173,no_shared_term,False,False,False
S1-955591349,S3-293438971,beyond_rank_cut,False,True,False
S1-283568031,S2-500358070,no_shared_term,False,False,False
S1-283568031,S3-628407427,no_shared_term,False,False,False
S1-593425336,S2-529175502,beyond_rank_cut,False,True,False
S1-593425336,S3-543705088,beyond_rank_cut,False,True,False
S1-650844958,S2-265598103,beyond_rank_cut,False,True,False
S1-838733009,S3-348212114,beyond_rank_cut,False,True,False
S1-349376742,S3-696348084,beyond_rank_cut,False,True,False
S1-349376742,S3-930297872,beyond_rank_cut,False,True,False
S1-868821144,S2-888867444,beyond_rank_cut,False,True,False
S1-838137863,S2-394013853,no_shared_term,False,False,False
S1-838137863,S3-827843748,no_shared_term,False,False,False
