source1_entity_id,true_match_count,candidate_count,hits,missed_target_ids
S1-613687143,3,300,3,
S1-779713266,0,244,0,
S1-820395250,3,300,3,
S1-999984979,3,300,3,
S1-45787746,3,300,3,
S1-434957132,5,300,5,
S1-871324271,0,300,0,
S1-251630773,1,300,1,
S1-975383995,4,300,3,S3-409617329
S1-916429117,7,300,5,"S2-80731967,S3-434111591"
S1-905815634,4,300,4,
S1-893036585,5,300,5,
S1-126019556,5,300,5,
S1-749800888,2,182,2,
S1-343386081,5,300,5,
S1-638785454,6,300,6,
S1-357516710,4,300,4,
S1-56550014,7,300,7,
S1-406771477,4,300,4,
S1-576426786,6,300,6,
S1-255896786,2,300,2,
S1-967542204,5,300,5,
S1-935709874,1,300,1,
S1-285016549,2,300,2,
S1-47384592,5,300,5,
S1-15107922,4,300,4,
S1-823417486,5,300,5,
S1-199711449,4,300,4,
S1-858974812,3,300,3,
S1-26339148,5,300,5,
S1-354144983,4,300,4,
S1-341436237,5,300,5,
S1-843181354,2,300,2,
S1-653464574,3,300,3,
S1-583945555,6,300,6,
S1-483213947,5,300,5,
S1-914420427,2,300,2,
S1-853801582,7,300,7,
S1-684397931,7,300,7,
S1-492850211,3,300,3,
S1-631457124,2,300,2,
S1-857744425,0,167,0,
S1-144798366,3,249,3,
S1-172753515,0,300,0,
S1-141760495,4,300,4,
S1-435525082,0,300,0,
S1-310560560,5,300,5,
S1-315116816,3,300,3,
S1-242975601,0,300,0,
S1-553276565,3,300,3,
S1-332232258,3,300,3,
S1-722876643,5,300,5,
S1-924567903,4,300,4,
S1-592126814,5,300,5,
S1-520014160,4,300,4,
S1-422891674,3,300,3,
S1-908445731,4,300,4,
S1-777861069,7,300,6,S2-344587174
S1-768322870,3,300,3,
S1-942391868,4,300,4,
S1-595263742,0,300,0,
S1-578341861,2,300,2,
S1-982074739,3,300,3,
S1-38402575,4,300,4,
S1-133362271,4,300,4,
S1-649812652,2,300,2,
S1-51850489,2,300,2,
S1-606725408,4,300,3,S3-741068886
S1-843426521,4,300,4,
S1-220682080,2,300,2,
S1-690293933,5,300,5,
S1-822302944,7,300,7,
S1-974065336,4,300,4,
S1-904513801,3,300,3,
S1-331760166,3,300,3,
S1-981908943,2,300,2,
S1-416849274,2,300,2,
S1-571547476,2,300,2,
S1-712035255,1,236,1,
S1-6278733,2,300,2,
S1-276628790,4,300,3,S2-658324123
S1-645877345,4,300,4,
S1-713315610,3,300,3,
S1-723671187,5,300,5,
S1-52163704,4,98,4,
S1-819738302,4,300,4,
S1-410598612,4,300,4,
S1-231817296,2,300,2,
S1-392170248,3,300,3,
S1-584662642,3,300,3,
S1-311383766,2,300,2,
S1-685189131,4,252,4,
S1-882423117,6,300,6,
S1-427030719,8,300,8,
S1-853035544,3,57,3,
S1-972961652,4,300,4,
S1-615118547,4,300,4,
S1-601663283,5,300,5,
S1-927326327,7,300,7,
S1-950965275,2,300,2,
S1-563842760,3,300,3,
S1-483579805,3,300,3,
S1-535873417,3,300,3,
S1-685392578,1,300,1,
S1-569708808,4,300,4,
S1-391643727,8,64,8,
S1-478051093,4,300,4,
S1-999418048,1,300,1,
S1-780862106,3,300,3,
S1-745065286,3,300,3,
S1-447388926,3,300,3,
S1-802448794,3,300,3,
S1-378288406,5,300,5,
S1-753623916,5,95,5,
S1-229697045,2,300,2,
S1-281526975,3,300,3,
S1-38456870,6,300,6,
S1-683198427,6,300,6,
S1-378696,6,300,6,
